¹Ì¶¨Ki£¬Kd_smoothed_smoothed,"error,Kp=1,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=4,Ki=0,Kd=0_smoothed","¹Ì¶¨Kp,Ki_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0,Kd=1_smoothed","error,Kp=3,Ki=0,Kd=5_smoothed","¹Ì¶¨Kp,Kd_smoothed_smoothed","error,Kp=3,Ki=0,Kd=0_smoothed","error,Kp=3,Ki=0.005,Kd=0_smoothed","error,Kp=3,Ki=0.007,Kd=0_smoothed","error,Kp=3,Ki=0.01,Kd=0_smoothed"
,0.04089634,0.042998697,0.044427682,,0.042998697,0.051180044,0.045525412,,0.042998697,0.043350211,0.050207616,0.047418267
,0.044594068,0.046488629,0.048156866,,0.046488629,0.05558433,0.048866721,,0.046488629,0.047237046,0.054126485,0.051272114
,0.048279776,0.049624675,0.051701334,,0.049624675,0.059767368,0.052054933,,0.049624675,0.051048179,0.057918789,0.054929954
,0.051876887,0.052528372,0.055042899,,0.052528372,0.063688202,0.055014292,,0.052528372,0.05471318,0.061548838,0.058384401
,0.055390301,0.055123756,0.058242061,,0.055123756,0.067373813,0.057949671,,0.055123756,0.05817916,0.065010527,0.061599843
,0.058965956,0.057427846,0.061255119,,0.057427846,0.070730613,0.060691346,,0.057427846,0.061419899,0.068329109,0.064563657
,0.062508656,0.059523363,0.06401558,,0.059523363,0.07371454,0.063368496,,0.059523363,0.064382719,0.07155438,0.067385754
,0.066132201,0.061440499,0.066489103,,0.061440499,0.076318948,0.065814627,,0.061440499,0.06716304,0.074619377,0.070083309
,0.069529877,0.063138419,0.068663988,,0.063138419,0.078695642,0.06803169,,0.063138419,0.069740944,0.077519464,0.072614317
,0.072815174,0.064636807,0.070486295,,0.064636807,0.080763188,0.069969192,,0.064636807,0.072129436,0.080169142,0.075009135
,0.075930679,0.065895291,0.071955394,,0.065895291,0.082583765,0.07162988,,0.065895291,0.074280483,0.082653719,0.077244038
,0.078937947,0.066933274,0.073215932,,0.066933274,0.084221136,0.0729754,,0.066933274,0.076117293,0.084914311,0.079388162
