调整kp_smoothed,kp=1ki=0kd=0_smoothed,kp=3ki=0kd=0_smoothed,kp=5ki=0kd=0_smoothed,调整kd_smoothed,kp=3ki=0kd=0_smoothed,kp=3ki=0kd=4_smoothed,kp=3ki=0kd=6_smoothed,kp=3ki=0kd=8_smoothed,调整Ki_smoothed,kp=3ki=0.001kd=6_smoothed,kp=3ki=0.01kd=6_smoothed,kp=3ki=0.1kd=6_smoothed
,-0.044485995,-7.63E-05,9.50E-05,,-7.63E-05,0.000247383,-0.000841323,0.185196107,,-0.001632998,-0.007808723,-0.040931324
,-0.032365174,-0.00015252,0.00011626,,-0.00015252,0.000253099,-0.000708795,0.18261604,,-0.00149995,-0.007644324,-0.04094952
,-0.023825353,-0.000237886,0.000183041,,-0.000237886,0.000216962,-0.000760906,0.187706695,,-0.001552008,-0.007688974,-0.045774753
,-0.011969613,-0.000287199,0.000227175,,-0.000287199,0.000224233,-0.000632615,0.184767789,,-0.001423092,-0.007526678,-0.046226957
,-0.00429486,-0.000346458,0.000319609,,-0.000346458,0.000152747,-0.000615893,0.189468115,,-0.001405614,-0.00751815,-0.05119307
,0.005465096,-0.000375517,0.000381232,,-0.000375517,0.000148196,-0.000487282,0.186183323,,-0.001275727,-0.007367923,-0.052106947
,0.011240694,-0.000420982,0.000470652,,-0.000420982,6.52E-05,-0.000419245,0.19028863,,-0.001206971,-0.007301566,-0.057368614
,0.017833384,-0.000460435,0.000522592,,-0.000460435,7.66E-05,-0.000318222,0.186692551,,-0.001104738,-0.007166921,-0.05874987
,0.021224563,-0.00052417,0.000599478,,-0.00052417,-2.39E-05,-0.000207139,0.189977894,,-0.000992897,-0.007046345,-0.064482604
,0.024334059,-0.000560101,0.000639547,,-0.000560101,1.36E-06,-0.000155421,0.186126724,,-0.000940609,-0.006943291,-0.066016163
,0.025352699,-0.000630715,0.000703264,,-0.000630715,-0.000126954,-4.08E-05,0.188347235,,-0.00082564,-0.006797233,-0.072082596
,0.025285161,-0.000666453,0.000726952,,-0.000666453,-9.13E-05,-2.04E-05,0.184318686,,-0.000804487,-0.00672981,-0.072419343
,0.024311134,-0.000751437,0.000775281,,-0.000751437,-0.00026141,7.32E-05,0.185209935,,-0.000710188,-0.00660614,-0.069228174
,0.021784715,-0.000794793,0.000774343,,-0.000794793,-0.000219958,6.82E-05,0.181103117,,-0.000714354,-0.006571087,-0.066215274
,0.019385411,-0.000923928,0.00080262,,-0.000923928,-0.000218203,8.33E-05,0.180381505,,-0.000698115,-0.006516727,-0.05905375
,0.015270348,-0.001004529,0.000764975,,-0.001004529,-0.000177812,2.32E-05,0.176316779,,-0.000757276,-0.006541781,-0.051084132
,0.012085238,-0.001186393,0.000791183,,-0.001186393,-0.000256434,-6.19E-05,0.173514992,,-0.000840801,-0.006574564,-0.040319504
,0.007312788,-0.001309004,0.000727323,,-0.001309004,-0.000227417,-0.000226243,0.169441223,,-0.001004095,-0.006711196,-0.035778154
,0.003933898,-0.001399086,0.000740285,,-0.001399086,-0.000410263,-0.000389374,0.16407164,,-0.001165301,-0.006808087,-0.023066464
,-0.000726772,-0.001438746,0.000659541,,-0.001438746,-0.000623429,-0.000711518,0.160013845,,-0.001486306,-0.007108661,-0.016243642
,-0.004862281,-0.001429244,0.000643955,,-0.001429244,-0.000818956,-0.000850827,0.151743881,,-0.001623321,-0.007166908,-0.004034713
,-0.008882566,-0.00138539,0.000481235,,-0.00138539,-0.001050004,-0.000787917,0.137688573,,-0.001558012,-0.007020113,0.003870749
,-0.012116653,-0.001321868,0.00040993,,-0.001321868,-0.001188371,-0.000755352,0.126361297,,-0.001522984,-0.006900703,0.013761559
,-0.015222632,-0.001450717,0.000414738,,-0.001450717,-0.00122747,-0.000824518,0.112691415,,-0.001589896,-0.006916242,0.017562423
,-0.017466324,-0.001491922,0.000448184,,-0.001491922,-0.001329222,-0.000714766,0.098078207,,-0.001477454,-0.006728704,0.023780104
,-0.01853782,-0.001607527,0.000546844,,-0.001607527,-0.001523409,-0.000911943,0.084997263,,-0.001672598,-0.006919405,0.02774986
,-0.019781303,-0.001681568,0.000624765,,-0.001681568,-0.001662082,-0.00121551,0.077077744,,-0.001974443,-0.007258167,0.029892151
,-0.020251003,-0.001800021,0.000767406,,-0.001800021,-0.001938858,-0.001435227,0.064809549,,-0.002192073,-0.007482923,0.034219633
,-0.020656418,-0.001988932,0.000859332,,-0.001988932,-0.002300737,-0.001718054,0.053894527,,-0.002472513,-0.007764297,0.042893749
,-0.020662211,-0.002144676,0.000945197,,-0.002144676,-0.002532497,-0.002142993,0.042682856,,-0.002895178,-0.00819572,0.047787785
,-0.020485073,-0.002367681,0.001111505,,-0.002367681,-0.002773113,-0.002155613,0.026837637,,-0.002904713,-0.008150689,0.051095263
,-0.02012943,-0.002627156,0.001421073,,-0.002627156,-0.003173222,-0.002461017,0.007920219,,-0.003206414,-0.008365153,0.049352124
,-0.019716975,-0.002874589,0.00163968,,-0.002874589,-0.003287529,-0.002937006,-0.009346247,,-0.003678499,-0.008752604,0.046836514
,-0.019358955,-0.003022809,0.001905576,,-0.003022809,-0.003554221,-0.002969698,-0.022327445,,-0.003707583,-0.008724921,0.038931564
,-0.018971833,-0.003308501,0.002153607,,-0.003308501,-0.004112359,-0.003223556,-0.037115592,,-0.003956456,-0.00887645,0.032510808
,-0.018830423,-0.003589104,0.002206354,,-0.003589104,-0.004445998,-0.00397555,-0.042899194,,-0.004702866,-0.00953729,0.026396334
,-0.019076868,-0.004043066,0.002214396,,-0.004043066,-0.004556703,-0.004428831,-0.047630913,,-0.005151516,-0.009921467,0.022226646
,-0.019336644,-0.004969292,0.002432552,,-0.004969292,-0.005276529,-0.00479062,-0.053299466,,-0.00550737,-0.010217867,0.013181816
,-0.020067118,-0.005699131,0.002388692,,-0.005699131,-0.006182855,-0.00526557,-0.060483385,,-0.005975588,-0.010595958,0.006186747
,-0.021471326,-0.006639232,0.002408025,,-0.006639232,-0.006850501,-0.005101937,-0.068564127,,-0.005804194,-0.010328727,-0.000752968
,-0.022783084,-0.007625687,0.002244548,,-0.007625687,-0.00787916,-0.005853526,-0.077051335,,-0.006549014,-0.011009269,-0.009318368
,-0.024552749,-0.008763924,0.002003756,,-0.008763924,-0.009156133,-0.006888132,-0.077786027,,-0.00757303,-0.011921546,-0.012502858
,-0.027421412,-0.010152494,0.001614611,,-0.010152494,-0.010255182,-0.007860458,-0.079070557,,-0.008536066,-0.012779319,-0.0122027
,-0.029868204,-0.011615439,0.001506947,,-0.011615439,-0.011238407,-0.009877594,-0.077242175,,-0.010538869,-0.014649342,-0.010506649
,-0.032695803,-0.013651629,0.001531522,,-0.013651629,-0.012691878,-0.010339017,-0.073793069,,-0.010988176,-0.014979956,-0.008389173
,-0.036771169,-0.016535293,0.001782933,,-0.016535293,-0.01453815,-0.009651769,-0.069185158,,-0.010277384,-0.014049496,-0.002947808
,-0.041493085,-0.020077156,0.001935236,,-0.020077156,-0.016473926,-0.009917341,-0.069606035,,-0.010525619,-0.014137406,-0.000226163
,-0.045189339,-0.023432347,0.001512933,,-0.023432347,-0.017805246,-0.009736875,-0.069105846,,-0.010315081,-0.013684358,0.001160567
,-0.050454411,-0.02766606,0.000610592,,-0.02766606,-0.020789536,-0.008632189,-0.069981029,,-0.009191861,-0.012395066,0.001659716
,-0.056448289,-0.032037561,-0.000602105,,-0.032037561,-0.023454934,-0.012890394,-0.069569512,,-0.013418576,-0.016380865,0.001675694
,-0.063312916,-0.036618084,-0.000830351,,-0.036618084,-0.028322221,-0.019425114,-0.071830917,,-0.019931328,-0.022731379,0.000358866
,-0.07109022,-0.043358278,-0.000597438,,-0.043358278,-0.034259333,-0.031275772,-0.072734303,,-0.031739225,-0.034224519,-0.001458478
,-0.081478306,-0.050654481,0.000430225,,-0.050654481,-0.042836577,-0.046778921,-0.074339445,,-0.047196388,-0.048418034,-0.007643261
,-0.093360295,-0.058781686,0.001544937,,-0.058781686,-0.055192671,-0.068352934,-0.081434171,,-0.068694617,-0.065156429,-0.017042428
,-0.106985956,-0.068527508,0.001782178,,-0.068527508,-0.070078963,-0.088988097,-0.091664295,,-0.089253185,-0.083109492,-0.031154561
,-0.122669177,-0.07799448,0.000367832,,-0.07799448,-0.08588414,-0.109442187,-0.104498,,-0.109608116,-0.10073615,-0.046872238
,-0.140633363,-0.085605723,-0.00270277,,-0.085605723,-0.094728129,-0.118998077,-0.111840176,,-0.119115648,-0.107603807,-0.05690639
,-0.166205549,-0.092521175,-0.004419218,,-0.092521175,-0.105689062,-0.129593777,-0.122186786,,-0.129658072,-0.115469122,-0.065028427
,-0.195254636,-0.096539373,-0.006864433,,-0.096539373,-0.113296262,-0.135657547,-0.129840221,,-0.135677459,-0.124798482,-0.07448507
,-0.228434552,-0.098943438,-0.009108326,,-0.098943438,-0.122814814,-0.140819956,-0.139482379,,-0.140776526,-0.129524133,-0.079029606
,-0.266453735,-0.101500467,-0.012584534,,-0.101500467,,,,,,,
,-0.310079169,-0.102507708,,,-0.102507708,,,,,,,
,-0.354354128,,,,,,,,,,,
,-0.403794827,,,,,,,,,,,
,-0.457907772,,,,,,,,,,,
,-0.515868005,,,,,,,,,,,
,-0.57544868,,,,,,,,,,,
